Unnamed: 0,class,type,date,value,percentage,aacc,unit
131,bioenergy,Renovable,2014-01-01,3450.038,0.0018803519230294,Valencia,MWh
132,oil_gas,No-Renovable,2014-01-01,128228.163,0.0698873672938057,Valencia,MWh
133,coal,Renovable,2014-01-01,34813.0,0.0189739044892911,Valencia,MWh
134,others,Generación total,2014-01-01,1834783.137,1.0,Valencia,MWh
135,,Renovable,2014-01-01,199719.418,0.1854782480619043,Extremadura,MWh
136,hydropower,No-Renovable,2014-01-01,13253.187,0.0123081567661928,Extremadura,MWh
137,nuclear,No-Renovable,2014-01-01,778385.139,0.7228816974578899,Extremadura,MWh
138,solar,Renovable,2014-01-01,47302.625,0.0439296694412019,Extremadura,MWh
139,solar,Renovable,2014-01-01,21845.097,0.0202874130161062,Extremadura,MWh
140,bioenergy,Renovable,2014-01-01,11212.621,0.0104130951316016,Extremadura,MWh
141,oil_gas,No-Renovable,2014-01-01,5062.722,0.004701720125103,Extremadura,MWh
142,others,Generación total,2014-01-01,1076780.809,1.0,Extremadura,MWh
143,,Renovable,2014-01-01,1650844.29,0.4487847295789713,Galicia,MWh
144,hydropower,No-Renovable,2014-01-01,6874.686,0.0018688946717381,Galicia,MWh
145,coal,No-Renovable,2014-01-01,607576.243,0.1651705988051498,Galicia,MWh
146,oil_gas,No-Renovable,2014-01-01,60962.485,0.0165727515980244,Galicia,MWh
147,,Renovable,2014-01-01,1130295.238,0.3072726154749755,Galicia,MWh
148,solar,Renovable,2014-01-01,504.864,0.0001372481069757,Galicia,MWh
149,bioenergy,Renovable,2014-01-01,18628.922,0.0050643030192252,Galicia,MWh
150,oil_gas,No-Renovable,2014-01-01,184369.943,0.0501212715899119,Galicia,MWh
151,coal,Renovable,2014-01-01,9210.147,0.0025037935775139,Galicia,MWh
152,bioenergy,Renovable,2014-01-01,9210.147,0.0025037935775139,Galicia,MWh
153,others,Generación total,2014-01-01,3678476.965,1.0,Galicia,MWh
154,,Renovable,2014-01-01,19343.696,0.1231006436443505,La Rioja,MWh
155,oil_gas,No-Renovable,2014-01-01,11752.977,0.0747943429961496,La Rioja,MWh
156,,Renovable,2014-01-01,108580.941,0.6909943024647022,La Rioja,MWh
157,solar,Renovable,2014-01-01,4539.073,0.0288860416255866,La Rioja,MWh
158,bioenergy,Renovable,2014-01-01,746.457,0.0047503505613834,La Rioja,MWh
159,oil_gas,No-Renovable,2014-01-01,12174.101,0.0774743187078276,La Rioja,MWh
160,others,Generación total,2014-01-01,157137.245,1.0,La Rioja,MWh
161,,Renovable,2014-01-01,9813.063,0.0231504775128668,Murcia,MWh
162,oil_gas,No-Renovable,2014-01-01,124740.781,0.2942820855708298,Murcia,MWh
163,,Renovable,2014-01-01,82138.578,0.1937771420531853,Murcia,MWh
164,solar,Renovable,2014-01-01,44482.386,0.1049405753139118,Murcia,MWh
165,solar,Renovable,2014-01-01,1317.929,0.0031091908487752,Murcia,MWh
166,bioenergy,Renovable,2014-01-01,3155.107,0.0074433674433954,Murcia,MWh
167,oil_gas,No-Renovable,2014-01-01,158233.823,0.3732971612570354,Murcia,MWh
168,others,Generación total,2014-01-01,423881.667,1.0,Murcia,MWh
169,,Renovable,2015-01-01,302.963,0.0004159967031681,Canarias,MWh
170,oil_gas,No-Renovable,2015-01-01,182931.25,0.2511818172728299,Canarias,MWh
171,oil_gas,No-Renovable,2015-01-01,27866.816,0.0382637602076603,Canarias,MWh
172,oil_gas,No-Renovable,2015-01-01,202134.491,0.2775496738960593,Canarias,MWh
173,oil_gas,No-Renovable,2015-01-01,254475.058,0.3494181968310433,Canarias,MWh
174,hydropower,Renovable,2015-01-01,384.989,0.0005286261185557,Canarias,MWh
175,,Renovable,2015-01-01,41468.698,0.0569404239219825,Canarias,MWh
176,solar,Renovable,2015-01-01,18338.96,0.0251811174946529,Canarias,MWh
177,bioenergy,Renovable,2015-01-01,378.989,0.0005203875540478,Canarias,MWh
178,others,Generación total,2015-01-01,728282.2139999998,1.0,Canarias,MWh
179,coal,No-Renovable,2015-01-01,180751.809,0.5324997943378225,Baleares,MWh
180,oil_gas,No-Renovable,2015-01-01,56110.774,0.1653038814960686,Baleares,MWh
181,oil_gas,No-Renovable,2015-01-01,36805.256,0.1084292951698807,Baleares,MWh
182,oil_gas,No-Renovable,2015-01-01,36581.086,0.107768884192214,Baleares,MWh
183,,Renovable,2015-01-01,602.192,0.0017740741734534,Baleares,MWh
184,solar,Renovable,2015-01-01,6878.955,0.0202655903862026,Baleares,MWh
