project,type,country,unit,status,capacity,start_year,owner,lat,lng,url,aacc
Duenas Mill power station,oil_gas,Spain,MWh,operating,36000.0,2009.0,DS Smith PLC,41.83947,-4.56014,https://www.gem.wiki/Duenas_Mill_power_station,Castilla_León
Ecocarburantes Españoles power station,oil_gas,Spain,MWh,operating,15840.0,,Ecocarburantes Españoles SA,37.58049681,-0.9233012156,https://www.gem.wiki/Ecocarburantes_Españoles_power_station,Murcia
El Fangal power station,oil_gas,Spain,MWh,operating,289872.0,2006.0,Engie España SLU,37.5709,-0.9458,https://www.gem.wiki/El_Fangal_power_station,Murcia
El Fangal power station,oil_gas,Spain,MWh,operating,288986.4,2006.0,Engie España SLU,37.5709,-0.9458,https://www.gem.wiki/El_Fangal_power_station,Murcia
El Fangal power station,oil_gas,Spain,MWh,operating,284400.0,2006.0,Engie España SLU,37.5709,-0.9458,https://www.gem.wiki/El_Fangal_power_station,Murcia
El Morell power station,oil_gas,Spain,MWh,operating,46800.0,1998.0,Repsol SA,41.1936,1.2253,https://www.gem.wiki/El_Morell_power_station,Cataluña
El Morell power station,oil_gas,Spain,MWh,operating,61200.0,1998.0,Repsol SA,41.1936,1.2253,https://www.gem.wiki/El_Morell_power_station,Cataluña
Enercrisa power station,oil_gas,Spain,MWh,operating,15120.0,2009.0,Enercrisa SA,42.48385,-3.15084,https://www.gem.wiki/Enercrisa_power_station,Castilla_León
Escatrón 3 power station,oil_gas,Spain,MWh,operating,578880.0,2007.0,Repsol SA,41.2977,-0.3376,https://www.gem.wiki/Escatrón_3_power_station,Aragón
Escatrón 3 power station,oil_gas,Spain,MWh,operating,198000.0,2007.0,IGNIS Energía SL,41.2977,-0.3376,https://www.gem.wiki/Escatrón_3_power_station,Aragón
Escombreras Iberdrola power station,oil_gas,Spain,MWh,operating,587520.0,2006.0,Iberdrola SA,37.5647,-0.95132,https://www.gem.wiki/Escombreras_Iberdrola_power_station,Murcia
Figuruelas power station,oil_gas,Spain,MWh,operating,15120.0,1993.0,Institute for Diversification and Saving of Energy (IDAE),41.75202,-1.18021,https://www.gem.wiki/Figuruelas_power_station,Aragón
Fuenlabrada Mill power station,oil_gas,Spain,MWh,operating,30960.0,2001.0,Iberdrola SA [50.00%]; International Paper Co [50.00%],40.26902,-3.77064,https://www.gem.wiki/Fuenlabrada_Mill_power_station,Madrid
GEMASA power station,oil_gas,Spain,MWh,operating,20160.0,1997.0,Compañía Española de Petróleos SA,37.18408,-6.90394,https://www.gem.wiki/GEMASA_power_station,Andalucía
Gajano power station,oil_gas,Spain,MWh,operating,54720.0,2001.0,Repsol SA,43.42204,-3.75087,https://www.gem.wiki/Gajano_power_station,Cantabria
Genfibre cogeneration power station,oil_gas,Spain,MWh,operating,35280.0,2000.0,Montefibre Hispania SA,42.68094,-2.92605,https://www.gem.wiki/Genfibre_Cogeneration_power_station,Castilla_León
Granadilla power station,oil_gas,Spain,MWh,operating,162720.0,1990.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Granadilla power station,oil_gas,Spain,MWh,operating,169920.0,1990.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Granadilla power station,oil_gas,Spain,MWh,operating,26640.0,1990.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Granadilla power station,oil_gas,Spain,MWh,operating,30240.0,2001.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Granadilla power station,oil_gas,Spain,MWh,operating,34560.0,1991.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Granadilla power station,oil_gas,Spain,MWh,operating,57600.0,1995.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Granadilla power station,oil_gas,Spain,MWh,operating,57600.0,1995.0,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station,Canarias
Hernani Mill power station,oil_gas,Spain,MWh,operating,36000.0,2008.0,Papelera Guipuzcoana de Zicuñaga,43.25835,-1.967771,https://www.gem.wiki/Hernani_Mill_power_station,País_Vasco
Jinamar power station,oil_gas,Spain,MWh,operating,27000.0,1989.0,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station,Canarias
