class,type,date,value,percentage,aacc
Residuos no renovables,Renovable,2014-01-01,34813.0,0.018973904489291153,Valenciana
Generación total,Generación total,2014-01-01,1834783.1369999999,1.0,Valenciana
Hidráulica,Renovable,2014-01-01,199719.418,0.1854782480619043,Extremadura
Turbinación bombeo,No-Renovable,2014-01-01,13253.187,0.012308156766192884,Extremadura
Nuclear,No-Renovable,2014-01-01,778385.139,0.7228816974578899,Extremadura
Solar fotovoltaica,Renovable,2014-01-01,47302.625,0.043929669441201934,Extremadura
Solar térmica,Renovable,2014-01-01,21845.097,0.02028741301610623,Extremadura
Otras renovables,Renovable,2014-01-01,11212.621,0.01041309513160166,Extremadura
Cogeneración,No-Renovable,2014-01-01,5062.722,0.004701720125103009,Extremadura
Generación total,Generación total,2014-01-01,1076780.8090000001,1.0,Extremadura
Hidráulica,Renovable,2014-01-01,1650844.29,0.44878472957897136,Galicia
Turbinación bombeo,No-Renovable,2014-01-01,6874.686,0.0018688946717381443,Galicia
Carbón,No-Renovable,2014-01-01,607576.243,0.1651705988051498,Galicia
Ciclo combinado,No-Renovable,2014-01-01,60962.485,0.016572751598024484,Galicia
Eólica,Renovable,2014-01-01,1130295.238,0.30727261547497553,Galicia
Solar fotovoltaica,Renovable,2014-01-01,504.864,0.00013724810697570864,Galicia
Otras renovables,Renovable,2014-01-01,18628.922,0.005064303019225241,Galicia
Cogeneración,No-Renovable,2014-01-01,184369.943,0.05012127158991195,Galicia
Residuos no renovables,Renovable,2014-01-01,9210.147,0.002503793577513949,Galicia
Residuos renovables,Renovable,2014-01-01,9210.147,0.002503793577513949,Galicia
Generación total,Generación total,2014-01-01,3678476.9649999994,1.0,Galicia
Hidráulica,Renovable,2014-01-01,19343.696,0.12310064364435051,La_Rioja
Ciclo combinado,No-Renovable,2014-01-01,11752.977,0.07479434299614965,La_Rioja
Eólica,Renovable,2014-01-01,108580.941,0.6909943024647022,La_Rioja
Solar fotovoltaica,Renovable,2014-01-01,4539.073,0.028886041625586605,La_Rioja
Otras renovables,Renovable,2014-01-01,746.457,0.004750350561383458,La_Rioja
Cogeneración,No-Renovable,2014-01-01,12174.101,0.07747431870782767,La_Rioja
Generación total,Generación total,2014-01-01,157137.245,1.0,La_Rioja
Hidráulica,Renovable,2014-01-01,9813.063,0.023150477512866814,Murcia
Ciclo combinado,No-Renovable,2014-01-01,124740.781,0.29428208557082985,Murcia
Eólica,Renovable,2014-01-01,82138.578,0.1937771420531853,Murcia
Solar fotovoltaica,Renovable,2014-01-01,44482.386,0.10494057531391184,Murcia
Solar térmica,Renovable,2014-01-01,1317.929,0.003109190848775255,Murcia
Otras renovables,Renovable,2014-01-01,3155.107,0.00744336744339547,Murcia
Cogeneración,No-Renovable,2014-01-01,158233.823,0.37329716125703544,Murcia
Generación total,Generación total,2014-01-01,423881.667,1.0,Murcia
Hidráulica,Renovable,2015-01-01,302.963,0.0004159967031681486,Canarias
Motores diésel,No-Renovable,2015-01-01,182931.25,0.25118181727282995,Canarias
Turbina de gas,No-Renovable,2015-01-01,27866.816,0.03826376020766039,Canarias
Turbina de vapor,No-Renovable,2015-01-01,202134.491,0.2775496738960593,Canarias
