,class,type,date,value,percentage,aacc,comunidad
138,Solar fotovoltaica,Renovable,2014-01-01,47302.625,0.043929669441201934,16,Extremadura
139,Solar térmica,Renovable,2014-01-01,21845.097,0.02028741301610623,16,Extremadura
140,Otras renovables,Renovable,2014-01-01,11212.621,0.01041309513160166,16,Extremadura
141,Cogeneración,No-Renovable,2014-01-01,5062.722,0.004701720125103009,16,Extremadura
142,Generación total,Generación total,2014-01-01,1076780.8090000001,1.0,16,Extremadura
143,Hidráulica,Renovable,2014-01-01,1650844.29,0.44878472957897136,17,Galicia
144,Turbinación bombeo,No-Renovable,2014-01-01,6874.686,0.0018688946717381443,17,Galicia
145,Carbón,No-Renovable,2014-01-01,607576.243,0.1651705988051498,17,Galicia
146,Ciclo combinado,No-Renovable,2014-01-01,60962.485,0.016572751598024484,17,Galicia
147,Eólica,Renovable,2014-01-01,1130295.238,0.30727261547497553,17,Galicia
148,Solar fotovoltaica,Renovable,2014-01-01,504.864,0.00013724810697570864,17,Galicia
149,Otras renovables,Renovable,2014-01-01,18628.922,0.005064303019225241,17,Galicia
150,Cogeneración,No-Renovable,2014-01-01,184369.943,0.05012127158991195,17,Galicia
151,Residuos no renovables,Renovable,2014-01-01,9210.147,0.002503793577513949,17,Galicia
152,Residuos renovables,Renovable,2014-01-01,9210.147,0.002503793577513949,17,Galicia
153,Generación total,Generación total,2014-01-01,3678476.9649999994,1.0,17,Galicia
154,Hidráulica,Renovable,2014-01-01,19343.696,0.12310064364435051,20,La_Rioja
155,Ciclo combinado,No-Renovable,2014-01-01,11752.977,0.07479434299614965,20,La_Rioja
156,Eólica,Renovable,2014-01-01,108580.941,0.6909943024647022,20,La_Rioja
157,Solar fotovoltaica,Renovable,2014-01-01,4539.073,0.028886041625586605,20,La_Rioja
158,Otras renovables,Renovable,2014-01-01,746.457,0.004750350561383458,20,La_Rioja
159,Cogeneración,No-Renovable,2014-01-01,12174.101,0.07747431870782767,20,La_Rioja
160,Generación total,Generación total,2014-01-01,157137.245,1.0,20,La_Rioja
161,Hidráulica,Renovable,2014-01-01,9813.063,0.023150477512866814,21,Murcia
