project,unit,capacity,type,status,start_year,owner,operator,country,url,lat,lng,accuracy
Darlington New nuclear power plant,4,300.0,nuclear,announced,,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_New_nuclear_power_plant,43.8733,-78.7057,Exact
Darlington nuclear power plant,1,934.0,nuclear,operating,1992.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_nuclear_power_plant,43.8697,-78.7239,Exact
Darlington nuclear power plant,2,934.0,nuclear,operating,1990.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_nuclear_power_plant,43.8697,-78.7239,Exact
Darlington nuclear power plant,3,934.0,nuclear,operating,1993.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_nuclear_power_plant,43.8697,-78.7239,Exact
Darlington nuclear power plant,4,934.0,nuclear,operating,1993.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Darlington_nuclear_power_plant,43.8697,-78.7239,Exact
Darlington nuclear power plant,5,1200.0,nuclear,cancelled,,Ontario Power Generation,,Canada,https://gem.wiki/Darlington_nuclear_power_plant,43.8697,-78.7239,Exact
Darlington nuclear power plant,6,1200.0,nuclear,cancelled,,Ontario Power Generation,,Canada,https://gem.wiki/Darlington_nuclear_power_plant,43.8697,-78.7239,Exact
Douglas Point (AECL) nuclear power plant,,218.0,nuclear,retired,1968.0,Atomic Energy Of Canada LTD,Ontario Hydro,Canada,https://gem.wiki/Douglas_Point_(AECL)_nuclear_power_plant,44.3265,-81.6006,Exact
Gentilly nuclear power plant,1,266.0,nuclear,retired,1972.0,Canadian Nuclear Laboratories LTD,Hydro Quebec,Canada,https://gem.wiki/Gentilly_nuclear_power_plant,46.3953,-72.3579,Exact
Gentilly nuclear power plant,2,675.0,nuclear,retired,1983.0,Hydro Quebec,Hydro Quebec,Canada,https://gem.wiki/Gentilly_nuclear_power_plant,46.3955,-72.3556,Exact
Nuclear Power Demonstration (NPD) nuclear power plant,,25.0,nuclear,retired,1962.0,AECL,Ontario Hydro,Canada,https://gem.wiki/Nuclear_Power_Demonstration_(NPD)_nuclear_power_plant,46.1867,-77.6578,Exact
Pickering nuclear power plant,A1,542.0,nuclear,operating,1971.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8107,-79.0689,Exact
Pickering nuclear power plant,A2,542.0,nuclear,retired,1971.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8107,-79.0689,Exact
Pickering nuclear power plant,A3,542.0,nuclear,retired,1972.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8107,-79.0689,Exact
Pickering nuclear power plant,A4,542.0,nuclear,operating,1973.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8107,-79.0689,Exact
Pickering nuclear power plant,B5,540.0,nuclear,operating,1983.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8096,-79.0639,Exact
Pickering nuclear power plant,B6,540.0,nuclear,operating,1984.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8096,-79.0639,Exact
Pickering nuclear power plant,B7,540.0,nuclear,operating,1985.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8096,-79.0639,Exact
Pickering nuclear power plant,B8,540.0,nuclear,operating,1986.0,Ontario Power Generation,Ontario Power Generation,Canada,https://gem.wiki/Pickering_nuclear_power_plant,43.8096,-79.0639,Exact
Point Lepreau nuclear power plant,,705.0,nuclear,operating,1983.0,New Brunswick Electric Power Commission,New Brunswick Electric Power Commission,Canada,https://gem.wiki/Point_Lepreau_nuclear_power_plant,45.0686,-66.4543,Exact
10MW High Temperature Gas-cooled Reactor Test Module (HTR-10) nuclear power plant,,10.0,nuclear,operating,2013.0,Institute of Nuclear and New Energy Technology,Institute of Nuclear and New Energy Technology,China,https://gem.wiki/10MW_High_Temperature_Gas-cooled_Reactor_Test_Module_(HTR-10)_nuclear_power_plant,39.9977,116.3291,Approximate
Anhui Wuhu nuclear power plant,1-1,1250.0,nuclear,cancelled,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],Anhui Wuhu Nuclear Power CO LTD,China,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant,31.1123,118.0171,Approximate
