project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Campo de Gibraltar power station,oil_gas,Spain,2,operating,387.9,2004,Puente Mayorga Generación SLU,36.1834,-5.3933,https://www.gem.wiki/Campo_de_Gibraltar_power_station
Candelaria power station,oil_gas,Spain,GT1,operating,37.5,1988,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station
Candelaria power station,oil_gas,Spain,GT2,operating,37.5,1989,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station
Candelaria power station,oil_gas,Spain,ST1,operating,40.0,1979,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station
Candelaria power station,oil_gas,Spain,ST2,operating,40.0,1984,Endesa SA,28.38139,-16.35801,https://www.gem.wiki/Candelaria_power_station
Cartagena (Escombreras) power station,oil_gas,Spain,1,operating,418.2,2006,Naturgy Energy Group SA,37.57274,-0.93841,https://www.gem.wiki/Cartagena_(Escombreras)_power_station
Cartagena (Escombreras) power station,oil_gas,Spain,2,operating,417.8,2006,Naturgy Energy Group SA,37.57274,-0.93841,https://www.gem.wiki/Cartagena_(Escombreras)_power_station
Cartagena (Escombreras) power station,oil_gas,Spain,3,operating,412.7,2006,Naturgy Energy Group SA,37.57274,-0.93841,https://www.gem.wiki/Cartagena_(Escombreras)_power_station
Cartagena Refinery power station,oil_gas,Spain,1,operating,95.0,2002,SABIC Innovative Plastics España SA,37.70435,-1.09995,https://www.gem.wiki/Cartagena_Refinery_power_station
Castejón power station,oil_gas,Spain,1,operating,424.9,2002,TotalEnergies SE,42.1718,-1.6773,https://www.gem.wiki/Castejón_power_station
Castejón power station,oil_gas,Spain,2,operating,378.9,2003,Iberdrola SA,42.1718,-1.6773,https://www.gem.wiki/Castejón_power_station
Castejón power station,oil_gas,Spain,3,operating,418.4,2003,TotalEnergies SE,42.1718,-1.6773,https://www.gem.wiki/Castejón_power_station
Castellon Refinery power station,oil_gas,Spain,1,operating,26.0,2008,BP PLC,39.95912775,-0.001604527396,https://www.gem.wiki/Castellon_Refinery_power_station
Castellón power station,oil_gas,Spain,3,operating,782.0,2002,Iberdrola Generacion SA,39.9592,-0.001,https://www.gem.wiki/Castellón_power_station
Castellón power station,oil_gas,Spain,4,operating,858.0,2008,Iberdrola Generacion SA,39.9592,-0.001,https://www.gem.wiki/Castellón_power_station
Castelnou power station,oil_gas,Spain,1,operating,800.0,2006,Initec Energia SA,41.2167,-0.2928,https://www.gem.wiki/Castelnou_power_station
Cella Factory power station,oil_gas,Spain,1,operating,25.0,1997,Turolense De Tableros SA,40.45676,-1.248,https://www.gem.wiki/Cella_Factory_power_station
Ceuta power station,oil_gas,Spain,IC,operating,83.0,2010,Endesa SA,35.9026,-5.28949,https://www.gem.wiki/Ceuta_power_station
Cotesa power station,oil_gas,Spain,1,operating,38.0,1994,Compañía Española de Petróleos SA,28.4539912,-16.27808338,https://www.gem.wiki/Cotesa_power_station
Cristobal Colón power station,oil_gas,Spain,4,operating,391.0,2006,Endesa SA,37.2156,-6.943,https://www.gem.wiki/Cristobal_Colón_power_station
Duenas Mill power station,oil_gas,Spain,1,operating,50.0,2009,DS Smith PLC,41.83947,-4.56014,https://www.gem.wiki/Duenas_Mill_power_station
Ecocarburantes Españoles power station,oil_gas,Spain,1,operating,22.0,,Ecocarburantes Españoles SA,37.58049681,-0.9233012156,https://www.gem.wiki/Ecocarburantes_Españoles_power_station
El Fangal power station,oil_gas,Spain,1,operating,402.6,2006,Engie España SLU,37.5709,-0.9458,https://www.gem.wiki/El_Fangal_power_station
El Fangal power station,oil_gas,Spain,2,operating,401.37,2006,Engie España SLU,37.5709,-0.9458,https://www.gem.wiki/El_Fangal_power_station
El Fangal power station,oil_gas,Spain,3,operating,395.0,2006,Engie España SLU,37.5709,-0.9458,https://www.gem.wiki/El_Fangal_power_station
El Morell power station,oil_gas,Spain,GT1,operating,65.0,1998,Repsol SA,41.1936,1.2253,https://www.gem.wiki/El_Morell_power_station
El Morell power station,oil_gas,Spain,GT2,operating,85.0,1998,Repsol SA,41.1936,1.2253,https://www.gem.wiki/El_Morell_power_station
Enercrisa power station,oil_gas,Spain,1,operating,21.0,2009,Enercrisa SA,42.48385,-3.15084,https://www.gem.wiki/Enercrisa_power_station
Escatrón 3 power station,oil_gas,Spain,1,operating,804.0,2007,Repsol SA,41.2977,-0.3376,https://www.gem.wiki/Escatrón_3_power_station
Escatrón 3 power station,oil_gas,Spain,GT1,operating,275.0,2007,IGNIS Energía SL,41.2977,-0.3376,https://www.gem.wiki/Escatrón_3_power_station
Escombreras Iberdrola power station,oil_gas,Spain,6,operating,816.0,2006,Iberdrola SA,37.5647,-0.95132,https://www.gem.wiki/Escombreras_Iberdrola_power_station
Figuruelas power station,oil_gas,Spain,1,operating,21.0,1993,Institute for Diversification and Saving of Energy (IDAE),41.75202,-1.18021,https://www.gem.wiki/Figuruelas_power_station
Fuenlabrada Mill power station,oil_gas,Spain,1,operating,43.0,2001,Iberdrola SA [50.00%]; International Paper Co [50.00%],40.26902,-3.77064,https://www.gem.wiki/Fuenlabrada_Mill_power_station
GEMASA power station,oil_gas,Spain,1,operating,28.0,1997,Compañía Española de Petróleos SA,37.18408,-6.90394,https://www.gem.wiki/GEMASA_power_station
Gajano power station,oil_gas,Spain,CC,operating,76.0,2001,Repsol SA,43.42204,-3.75087,https://www.gem.wiki/Gajano_power_station
Genfibre cogeneration power station,oil_gas,Spain,1,operating,49.0,2000,Montefibre Hispania SA,42.68094,-2.92605,https://www.gem.wiki/Genfibre_Cogeneration_power_station
Granadilla power station,oil_gas,Spain,CC1,operating,226.0,1990,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Granadilla power station,oil_gas,Spain,CC2,operating,236.0,1990,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Granadilla power station,oil_gas,Spain,GT1,operating,37.0,1990,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Granadilla power station,oil_gas,Spain,GT2,operating,42.0,2001,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Granadilla power station,oil_gas,Spain,IC,operating,48.0,1991,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Granadilla power station,oil_gas,Spain,ST1,operating,80.0,1995,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Granadilla power station,oil_gas,Spain,ST2,operating,80.0,1995,Endesa SA,28.12218,-16.573048,https://www.gem.wiki/Granadilla_power_station
Hernani Mill power station,oil_gas,Spain,1,operating,50.0,2008,Papelera Guipuzcoana de Zicuñaga,43.25835,-1.967771,https://www.gem.wiki/Hernani_Mill_power_station
Jinamar power station,oil_gas,Spain,GT2,operating,37.5,1989,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,GT3,operating,37.5,1989,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,IC1-3,operating,36.0,1974,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,IC4&5,operating,48.0,1990,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,ST1,operating,33.0,1972,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,ST2,mothballed,40.0,1975,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,ST3,mothballed,40.0,1975,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,ST4,retired,60.0,1982,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
Jinamar power station,oil_gas,Spain,ST5,retired,60.0,1984,Endesa SA,28.042431,-15.411372,https://www.gem.wiki/Jinamar_power_station
La Coruna Refinery power station,oil_gas,Spain,CC,operating,80.0,2001,Repsol SA,43.3543,-8.4471,https://www.gem.wiki/La_Coruna_Refinery_power_station
Las Salinas power station,oil_gas,Spain,GT1,operating,26.0,1992,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station
Las Salinas power station,oil_gas,Spain,GT2,operating,38.0,2000,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station
Las Salinas power station,oil_gas,Spain,IC6,operating,24.0,1990,Endesa SA,28.50414,-13.84489,https://www.gem.wiki/Las_Salinas_power_station
