project,type,country,unit,status,capacity,start_year,owner,lat,lng,url
Cangnan San'ao nuclear power plant,nuclear,China,1-2,construction,1210.0,2027.0,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],27.19629,120.5191,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant
Cangnan San'ao nuclear power plant,nuclear,China,2-3,pre-construction,1150.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],27.19629,120.5191,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant
Cangnan San'ao nuclear power plant,nuclear,China,2-4,pre-construction,1150.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],27.19629,120.5191,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant
Cangnan San'ao nuclear power plant,nuclear,China,3-5,announced,1150.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],27.19629,120.5191,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant
Cangnan San'ao nuclear power plant,nuclear,China,3-6,announced,1150.0,,China General Nuclear Power Group CO LTD [51%]; Shenergy CO LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Power CO LTD [14%],27.19629,120.5191,https://gem.wiki/Cangnan_San'ao_nuclear_power_plant
Changde nuclear power plant,nuclear,China,1-1,cancelled,1000.0,,China General Nuclear Power Group CO LTD,28.9188,111.49301,https://gem.wiki/Changde_nuclear_power_plant
Changde nuclear power plant,nuclear,China,1-2,cancelled,1000.0,,China General Nuclear Power Group CO LTD,28.9188,111.49301,https://gem.wiki/Changde_nuclear_power_plant
Changde nuclear power plant,nuclear,China,3,cancelled,1000.0,,China General Nuclear Power Group CO LTD,28.9188,111.49301,https://gem.wiki/Changde_nuclear_power_plant
Changde nuclear power plant,nuclear,China,4,cancelled,1000.0,,China General Nuclear Power Group CO LTD,28.9188,111.49301,https://gem.wiki/Changde_nuclear_power_plant
Changjiang nuclear power plant,nuclear,China,1,operating,650.0,2015.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],19.4606,108.9006,https://gem.wiki/Changjiang_nuclear_power_plant
Changjiang nuclear power plant,nuclear,China,2,operating,650.0,2016.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],19.4606,108.9006,https://gem.wiki/Changjiang_nuclear_power_plant
Changjiang nuclear power plant,nuclear,China,3,construction,1197.0,2026.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],19.4606,108.9006,https://gem.wiki/Changjiang_nuclear_power_plant
Changjiang nuclear power plant,nuclear,China,4,construction,1200.0,2026.0,Huaneng Nuclear Power Development CO LTD [51%]; China Nuclear Power CORP [49%],19.4606,108.9006,https://gem.wiki/Changjiang_nuclear_power_plant
Chengde nuclear power plant,nuclear,China,1,cancelled,1250.0,,China General Nuclear Power Group CO LTD,40.4382,118.3576,https://gem.wiki/Chengde_nuclear_power_plant
Chengde nuclear power plant,nuclear,China,2,cancelled,1250.0,,China General Nuclear Power Group CO LTD,40.4382,118.3576,https://gem.wiki/Chengde_nuclear_power_plant
Chengde nuclear power plant,nuclear,China,3,cancelled,1250.0,,China General Nuclear Power Group CO LTD,40.4382,118.3576,https://gem.wiki/Chengde_nuclear_power_plant
Chengde nuclear power plant,nuclear,China,4,cancelled,1250.0,,China General Nuclear Power Group CO LTD,40.4382,118.3576,https://gem.wiki/Chengde_nuclear_power_plant
China Experimental Fast Reactor (CEFR) nuclear power plant,nuclear,China,,operating,25.0,2011.0,China National Nuclear CORP,39.7408,116.0303,https://gem.wiki/China_Experimental_Fast_Reactor_(CEFR)_nuclear_power_plant
CNNC ACP100S nuclear power plant,nuclear,China,1,cancelled,125.0,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],37.49364,121.4435,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant
CNNC ACP100S nuclear power plant,nuclear,China,2,cancelled,125.0,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],37.49364,121.4435,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant
CNNC ACP100S nuclear power plant,nuclear,China,3,cancelled,125.0,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],37.49364,121.4435,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant
CNNC ACP100S nuclear power plant,nuclear,China,4,cancelled,125.0,,China National Nuclear Power CO LTD [50%]; Yantai Taihai Group CO LTD [35%]; Yantai Blue Sky Investment Holdings CO LTD [15%],37.49364,121.4435,https://gem.wiki/CNNC_ACP100S_nuclear_power_plant
Daya Bay nuclear power plant,nuclear,China,1,operating,984.0,1994.0,Guandong Nuclear Power Joint Venture Company LTD,22.59801,114.5434,https://gem.wiki/Daya_Bay_nuclear_power_plant
Daya Bay nuclear power plant,nuclear,China,2,operating,984.0,1994.0,Guandong Nuclear Power Joint Venture Company LTD,22.59801,114.5434,https://gem.wiki/Daya_Bay_nuclear_power_plant
Donggang nuclear power plant,nuclear,China,1,cancelled,1150.0,,China Huadian Group CO LTD,39.7895,123.5988,https://gem.wiki/Donggang_nuclear_power_plant
Donggang nuclear power plant,nuclear,China,2,cancelled,1150.0,,China Huadian Group CO LTD,39.7895,123.5988,https://gem.wiki/Donggang_nuclear_power_plant
