project,unit,project_local,type,capacity,units,status,start_year,operator,owner,country,url,lat,lng,accuracy,region,subregion
Enel Cove Fort geothermal power plant,2,,geothermal,12,,operating,2013.0,,Enel Green Power,United States,https://gem.wiki/Enel_Cove_Fort_geothermal_power_plant,38.5603,-112.5811,exact,Americas,Northern America
Enel Salt Wells geothermal power plant,101,,geothermal,12,,operating,2009.0,,Enel Green Power,United States,https://gem.wiki/Enel_Salt_Wells_geothermal_power_plant,39.2944,-118.5725,exact,Americas,Northern America
Enel Salt Wells geothermal power plant,201,,geothermal,12,,operating,2009.0,,Enel Green Power,United States,https://gem.wiki/Enel_Salt_Wells_geothermal_power_plant,39.2944,-118.5725,exact,Americas,Northern America
Fervo (Google) geothermal power plant,,,geothermal,5,,announced,,,Google,United States,https://gem.wiki/Fervo_(Google)_geothermal_power_plant,36.0561,-115.0091,approximate,Americas,Northern America
Fish Lake geothermal power plant,1,,geothermal,5,,pre-construction,2024.0,,,United States,https://gem.wiki/Fish_Lake_geothermal_power_plant,37.8609,-118.0341,approximate,Americas,Northern America
Fish Lake geothermal power plant,2,,geothermal,5,,pre-construction,2024.0,,,United States,https://gem.wiki/Fish_Lake_geothermal_power_plant,37.8609,-118.0341,approximate,Americas,Northern America
Fish Lake geothermal power plant,3,,geothermal,5,,pre-construction,2024.0,,,United States,https://gem.wiki/Fish_Lake_geothermal_power_plant,37.8609,-118.0341,approximate,Americas,Northern America
Fish Lake geothermal power plant,4,,geothermal,5,,pre-construction,2024.0,,,United States,https://gem.wiki/Fish_Lake_geothermal_power_plant,37.8609,-118.0341,approximate,Americas,Northern America
Galena 2 geothermal power plant,1,,geothermal,14,,operating,2007.0,,Ormat Technology INC,United States,https://gem.wiki/Galena_2_geothermal_power_plant,39.3732,-119.7645,exact,Americas,Northern America
Galena 3 geothermal power plant,1,,geothermal,15,,operating,2008.0,,Ormat Technology INC,United States,https://gem.wiki/Galena_3_geothermal_power_plant,39.3887,-119.7489,exact,Americas,Northern America
Galena 3 geothermal power plant,2,,geothermal,15,,operating,2008.0,,Ormat Technology INC,United States,https://gem.wiki/Galena_3_geothermal_power_plant,39.3887,-119.7489,exact,Americas,Northern America
GeoZone (Chevron New Energies) geothermal power plant,,,geothermal,20,,announced,,,Chevron New Energies,United States,https://gem.wiki/GeoZone_(Chevron_New_Energies)_geothermal_power_plant,38.2877,-122.4595,approximate,Americas,Northern America
GeoZone (Cyrq Energy) geothermal power plant,,,geothermal,20,,announced,,,Cyrq Energy,United States,https://gem.wiki/GeoZone_(Cyrq_Energy)_geothermal_power_plant,38.2877,-122.4595,approximate,Americas,Northern America
GeoZone (Eavor) geothermal power plant,,,geothermal,20,,announced,,,Eavor Technologies INC,United States,https://gem.wiki/GeoZone_(Eavor)_geothermal_power_plant,38.2877,-122.4595,approximate,Americas,Northern America
Jersey Valley geothermal power plant,1,,geothermal,16,,operating,2010.0,,Ormat Technology INC,United States,https://gem.wiki/Jersey_Valley_geothermal_power_plant,40.1808,-117.4739,exact,Americas,Northern America
Jersey Valley geothermal power plant,2,,geothermal,8,,operating,2010.0,,Ormat Technology INC,United States,https://gem.wiki/Jersey_Valley_geothermal_power_plant,40.1808,-117.4739,exact,Americas,Northern America
Lightning Dock geothermal power plant,1,,geothermal,1,,operating,2013.0,,Lightning Dock Geothermal HI-01 LLC,United States,https://gem.wiki/Lightning_Dock_geothermal_power_plant,32.1447,-108.8383,exact,Americas,Northern America
Lightning Dock geothermal power plant,2,,geothermal,1,,operating,2013.0,,Lightning Dock Geothermal HI-01 LLC,United States,https://gem.wiki/Lightning_Dock_geothermal_power_plant,32.1447,-108.8383,exact,Americas,Northern America
Lightning Dock geothermal power plant,3,,geothermal,1,,operating,2013.0,,Lightning Dock Geothermal HI-01 LLC,United States,https://gem.wiki/Lightning_Dock_geothermal_power_plant,32.1447,-108.8383,exact,Americas,Northern America
Lightning Dock geothermal power plant,4,,geothermal,1,,operating,2013.0,,Lightning Dock Geothermal HI-01 LLC,United States,https://gem.wiki/Lightning_Dock_geothermal_power_plant,32.1447,-108.8383,exact,Americas,Northern America
Lightning Dock geothermal power plant,5,,geothermal,15,,operating,2018.0,,Lightning Dock Geothermal HI-01 LLC,United States,https://gem.wiki/Lightning_Dock_geothermal_power_plant,32.1447,-108.8383,exact,Americas,Northern America
Mammoth G1 geothermal power plant,GEN1,,geothermal,5,,operating,1984.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G1_geothermal_power_plant,37.6451,-118.9143,exact,Americas,Northern America
Mammoth G1 geothermal power plant,GEN2,,geothermal,5,,operating,1984.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G1_geothermal_power_plant,37.6451,-118.9143,exact,Americas,Northern America
Mammoth G2 geothermal power plant,1,,geothermal,5,,operating,1990.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G2_geothermal_power_plant,37.6464,-118.9092,exact,Americas,Northern America
Mammoth G2 geothermal power plant,2,,geothermal,5,,operating,1990.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G2_geothermal_power_plant,37.6464,-118.9092,exact,Americas,Northern America
Mammoth G2 geothermal power plant,3,,geothermal,5,,operating,1990.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G2_geothermal_power_plant,37.6464,-118.9092,exact,Americas,Northern America
Mammoth G3 geothermal power plant,T101,,geothermal,5,,operating,1990.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G3_geothermal_power_plant,37.6455,-118.9096,exact,Americas,Northern America
Mammoth G3 geothermal power plant,T102,,geothermal,5,,operating,1990.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G3_geothermal_power_plant,37.6455,-118.9096,exact,Americas,Northern America
Mammoth G3 geothermal power plant,T103,,geothermal,5,,operating,1990.0,,Ormat Technology INC,United States,https://gem.wiki/Mammoth_G3_geothermal_power_plant,37.6455,-118.9096,exact,Americas,Northern America
Neal Hot Springs geothermal power plant,1,,geothermal,11,,operating,2012.0,,US Geothermal INC,United States,https://gem.wiki/Neal_Hot_Springs_geothermal_power_plant,44.0231,-117.4681,exact,Americas,Northern America
Neal Hot Springs geothermal power plant,2,,geothermal,11,,operating,2012.0,,US Geothermal INC,United States,https://gem.wiki/Neal_Hot_Springs_geothermal_power_plant,44.0231,-117.4681,exact,Americas,Northern America
Neal Hot Springs geothermal power plant,3,,geothermal,11,,operating,2012.0,,US Geothermal INC,United States,https://gem.wiki/Neal_Hot_Springs_geothermal_power_plant,44.0231,-117.4681,exact,Americas,Northern America
Nevada EGS (Eavor) geothermal power plant,,,geothermal,20,,announced,2028.0,NV Energy,,United States,https://gem.wiki/Nevada_EGS_(Eavor)_geothermal_power_plant,39.7012,-118.9434,approximate,Americas,Northern America
North Valley geothermal plant,,,geothermal,25,,operating,2023.0,,Ormat Technology INC,United States,https://gem.wiki/North_Valley_geothermal_plant,40.3729,-119.4625,exact,Americas,Northern America
Puna geothermal power plant,2,,geothermal,14,,announced,,Puna Geothermal Venture,Puna Geothermal Venture,United States,https://gem.wiki/Puna_geothermal_power_plant,19.4767,-154.8908,exact,Americas,Northern America
Puna geothermal power plant,1 expansion,,geothermal,8,,announced,,Puna Geothermal Venture,Puna Geothermal Venture,United States,https://gem.wiki/Puna_geothermal_power_plant,19.4767,-154.8908,exact,Americas,Northern America
Raft River geothermal power plant,1,,geothermal,18,,operating,2008.0,,US Geothermal INC,United States,https://gem.wiki/Raft_River_geothermal_power_plant,42.0994,-113.3825,exact,Americas,Northern America
Richard Burdette geothermal power plant,1,,geothermal,15,,operating,2005.0,,Ormat Technology INC,United States,https://gem.wiki/Richard_Burdette_geothermal_power_plant,39.3908,-119.7546,exact,Americas,Northern America
Richard Burdette geothermal power plant,OEC2,,geothermal,15,,operating,2005.0,,Ormat Technology INC,United States,https://gem.wiki/Richard_Burdette_geothermal_power_plant,39.3908,-119.7546,exact,Americas,Northern America
Salton Sea geothermal plant,1,,geothermal,10,,operating,1982.0,,CalEnergy Operating CORP,United States,https://gem.wiki/Salton_Sea_geothermal_plant,33.158,-115.6475,exact,Americas,Northern America
Salton Sea geothermal plant,2.1,,geothermal,12,,operating,1990.0,,CalEnergy Operating CORP,United States,https://gem.wiki/Salton_Sea_geothermal_plant,33.1589,-115.6455,exact,Americas,Northern America
Salton Sea geothermal plant,2.2,,geothermal,5,,operating,1990.0,,CalEnergy Operating CORP,United States,https://gem.wiki/Salton_Sea_geothermal_plant,33.1589,-115.6455,exact,Americas,Northern America
Salton Sea geothermal plant,2.3,,geothermal,4,,operating,1990.0,,CalEnergy Operating CORP,United States,https://gem.wiki/Salton_Sea_geothermal_plant,33.1589,-115.6455,exact,Americas,Northern America
San Emidio geothermal power plant,SE-U1,,geothermal,12,,operating,2012.0,,USG Nevada LLC,United States,https://gem.wiki/San_Emidio_geothermal_power_plant,40.3806,-119.3997,exact,Americas,Northern America
Second Imperial geothermal power plant,GEN13,,geothermal,16,,operating,2006.0,,ORCAL Geothermal INC,United States,https://gem.wiki/Second_Imperial_geothermal_power_plant,32.7144,-115.5356,exact,Americas,Northern America
Second Imperial geothermal power plant,GEN14,,geothermal,16,,operating,2008.0,,ORCAL Geothermal INC,United States,https://gem.wiki/Second_Imperial_geothermal_power_plant,32.7144,-115.5356,exact,Americas,Northern America
Second Imperial geothermal power plant,OEC1,,geothermal,26,,operating,2022.0,,ORCAL Geothermal INC,United States,https://gem.wiki/Second_Imperial_geothermal_power_plant,32.7144,-115.5356,exact,Americas,Northern America
Second Imperial geothermal power plant,OEC2,,geothermal,16,,operating,2022.0,,ORCAL Geothermal INC,United States,https://gem.wiki/Second_Imperial_geothermal_power_plant,32.7144,-115.5356,exact,Americas,Northern America
Soda Lake 3 geothermal power plant,SL3,,geothermal,26,,operating,2019.0,,Amor 9 LLC,United States,https://gem.wiki/Soda_Lake_3_geothermal_power_plant,39.5545,-118.8501,exact,Americas,Northern America
Star Peak geothermal power plant,3500,,geothermal,4,,operating,2022.0,,,United States,https://gem.wiki/Star_Peak_geothermal_power_plant,40.5321,-118.272,exact,Americas,Northern America
Star Peak geothermal power plant,5200,,geothermal,5,,operating,2022.0,,,United States,https://gem.wiki/Star_Peak_geothermal_power_plant,40.5321,-118.272,exact,Americas,Northern America
Star Peak geothermal power plant,5100A,,geothermal,5,,operating,2022.0,,,United States,https://gem.wiki/Star_Peak_geothermal_power_plant,40.5321,-118.272,exact,Americas,Northern America
Star Peak geothermal power plant,5100B,,geothermal,5,,operating,2022.0,,,United States,https://gem.wiki/Star_Peak_geothermal_power_plant,40.5321,-118.272,exact,Americas,Northern America
Star Peak geothermal power plant,STEAM,,geothermal,3,,operating,2022.0,,,United States,https://gem.wiki/Star_Peak_geothermal_power_plant,40.5321,-118.272,exact,Americas,Northern America
Steamboat 2 geothermal power plant,T201,,geothermal,9,,operating,1992.0,,Steamboat Development CORP,United States,https://gem.wiki/Steamboat_2_geothermal_power_plant,39.3956,-119.7468,exact,Americas,Northern America
Steamboat 2 geothermal power plant,T202,,geothermal,9,,operating,1992.0,,Steamboat Development CORP,United States,https://gem.wiki/Steamboat_2_geothermal_power_plant,39.3956,-119.7468,exact,Americas,Northern America
Steamboat 3 geothermal power plant,T301,,geothermal,9,,operating,1992.0,,Steamboat Development CORP,United States,https://gem.wiki/Steamboat_3_geothermal_power_plant,39.3944,-119.7475,exact,Americas,Northern America
Steamboat 3 geothermal power plant,T302,,geothermal,9,,operating,1992.0,,Steamboat Development CORP,United States,https://gem.wiki/Steamboat_3_geothermal_power_plant,39.3944,-119.7475,exact,Americas,Northern America
Steamboat Hills geothermal power plant,OEC51,,geothermal,26,,operating,2020.0,,Ormat Technology INC,United States,https://gem.wiki/Steamboat_Hills_geothermal_power_plant,39.3701,-119.7669,exact,Americas,Northern America
Steamboat Hills geothermal power plant,OEC52,,geothermal,6,,operating,2020.0,,Ormat Technology INC,United States,https://gem.wiki/Steamboat_Hills_geothermal_power_plant,39.3701,-119.7669,exact,Americas,Northern America
Terra-Gen Dixie Valley geothermal plant,GEN2,,geothermal,6,,operating,2012.0,,Ormat Technology INC,United States,https://gem.wiki/Terra-Gen_Dixie_Valley_geothermal_plant,39.9663,-117.8557,exact,Americas,Northern America
Thermo No 1 geothermal power plant,2,,geothermal,14,,operating,2013.0,,Thermo No 1 BE 01 LLC,United States,https://gem.wiki/Thermo_No_1_geothermal_power_plant,38.1607,-113.1945,exact,Americas,Northern America
Tungsten Mountain geothermal plant,2,,geothermal,26,,operating,2022.0,,Tungsten Mountain,United States,https://gem.wiki/Tungsten_Mountain_geothermal_plant,39.667,-117.6937,exact,Americas,Northern America
Tuscarora geothermal power plant,1,,geothermal,16,,operating,2012.0,,Ormat Technology INC,United States,https://gem.wiki/Tuscarora_geothermal_power_plant,41.4828,-116.1511,exact,Americas,Northern America
Tuscarora geothermal power plant,2,,geothermal,16,,operating,2012.0,,Ormat Technology INC,United States,https://gem.wiki/Tuscarora_geothermal_power_plant,41.4828,-116.1511,exact,Americas,Northern America
Vulcan-BN Geothermal plant,2,,geothermal,10,,operating,1985.0,,CalEnergy Operating CORP,United States,https://gem.wiki/Vulcan-BN_Geothermal_plant,33.1633,-115.6167,exact,Americas,Northern America
Whitegrass 1 geothermal power plant,1,,geothermal,2,,operating,2018.0,,Open Mountain Energy LLC,United States,https://gem.wiki/Whitegrass_1_geothermal_power_plant,39.1633,-119.1805,exact,Americas,Northern America
Whitegrass 1 geothermal power plant,2,,geothermal,2,,operating,2018.0,,Open Mountain Energy LLC,United States,https://gem.wiki/Whitegrass_1_geothermal_power_plant,39.1633,-119.1805,exact,Americas,Northern America
Whitegrass 2 geothermal power plant,,,geothermal,6,,announced,2025.0,Open Mountain Energy LLC,,United States,https://gem.wiki/Whitegrass_2_geothermal_power_plant,39.1633,-119.1805,approximate,Americas,Northern America
