project,type,country,unit,plant_local,status,capacity,subnational,region,start_year,owner,parent,lat,lng,url
Oroqen Dayangshu Cogen power station,coal,China,Unit 2,深能鄂伦春大杨树热电,cancelled,200,Inner Mongolia,Asia,,Shenzhen Energy Group Co Ltd,Shenzhen Energy Group Co Ltd,49.71635,124.6225,https://www.gem.wiki/Oroqen_Dayangshu_Cogen_power_station
Oroqen power station,coal,China,Phase I,国电鄂伦春发电项目,cancelled,600,Inner Mongolia,Asia,,China Energy Investment Corp,China Energy Investment Corp,50.591,123.726,https://www.gem.wiki/Oroqen_power_station
Pan'nan low-heat-value coal power station,coal,China,Unit 1,盘南低热值煤资源综合利用发电项目,permitted,660,Guizhou,Asia,2025,China Power Construction Panzhou Low Calorific Value Coal Power Generation Co Ltd,Power Construction Corporation of China Ltd,25.53716,104.664,https://www.gem.wiki/Pan%27nan_low-heat-value_coal_power_station
Pan'nan low-heat-value coal power station,coal,China,Unit 2,盘南低热值煤资源综合利用发电项目,permitted,660,Guizhou,Asia,2025,China Power Construction Panzhou Low Calorific Value Coal Power Generation Co Ltd,Power Construction Corporation of China Ltd,25.53716,104.664,https://www.gem.wiki/Pan%27nan_low-heat-value_coal_power_station
Pan'nan power station,coal,China,Unit 1,贵州盘江电力新光电厂,construction,660,Guizhou,Asia,2023,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],25.39069,104.65101,https://www.gem.wiki/Pan'nan_power_station
Pan'nan power station,coal,China,Unit 2,贵州盘江电力新光电厂,construction,660,Guizhou,Asia,2024,Guizhou Qiangui Power Generation Co Ltd,Guizhou Qiansheng State-Owned Assets Management Co Ltd [36.2%]; Guizhou Panjiang Investment Holding (Group) Co Ltd [33.9%]; Guizhou Wujiang Energy Group Co Ltd [20.0%],25.39069,104.65101,https://www.gem.wiki/Pan'nan_power_station
Panbei power station,coal,China,"Phase I, Unit 1",国投盘江盘北电厂,operating,300,Guizhou,Asia,2013,Guotou Panjiang Power Co Ltd,SDIC Power Holdings Co Ltd [55.0%]; Guizhou Panjiang Refined Coal Co Ltd [45.0%],26.0646,104.53411,https://www.gem.wiki/Panbei_power_station
Panbei power station,coal,China,"Phase II, Unit 2",国投盘江盘北电厂,operating,300,Guizhou,Asia,2014,Guotou Panjiang Power Co Ltd,SDIC Power Holdings Co Ltd [55.0%]; Guizhou Panjiang Refined Coal Co Ltd [45.0%],26.0646,104.53411,https://www.gem.wiki/Panbei_power_station
Panbei power station,coal,China,"Phase III, Unit 3",国投盘江盘北电厂,cancelled,350,Guizhou,Asia,,Guotou Panjiang Power Co Ltd,SDIC Power Holdings Co Ltd [55.0%]; Guizhou Panjiang Refined Coal Co Ltd [45.0%],26.0646,104.53411,https://www.gem.wiki/Panbei_power_station
Panbei power station,coal,China,"Phase III, Unit 4",国投盘江盘北电厂,cancelled,350,Guizhou,Asia,,Guotou Panjiang Power Co Ltd,SDIC Power Holdings Co Ltd [55.0%]; Guizhou Panjiang Refined Coal Co Ltd [45.0%],26.0646,104.53411,https://www.gem.wiki/Panbei_power_station
Panjiang Puding power station,coal,China,Unit 1,盘江普定电厂,construction,660,Guizhou,Asia,2024,Guizhou Panjiang Coal and Electricity Group Co Ltd,Guizhou Panjiang Coal and Electricity Group Co Ltd,26.22288,105.66276,https://www.gem.wiki/Panjiang_Puding_power_station
Panjiang Puding power station,coal,China,Unit 2,盘江普定电厂,construction,660,Guizhou,Asia,2025,Guizhou Panjiang Coal and Electricity Group Co Ltd,Guizhou Panjiang Coal and Electricity Group Co Ltd,26.22288,105.66276,https://www.gem.wiki/Panjiang_Puding_power_station
