project,unit,fuel1,fuel2,fuel3,capacity,status,start_year,conversion,owner,operator,country,url,lat,lng,accuracy,conversion_year,type
Unidade de Bioenergia Costa Rica power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,Companhia Brasileira de Energia Renovável,Companhia Brasileira de Energia Renovável,Brazil,https://gem.wiki/Unidade_de_Bioenergia_Costa_Rica_power_station,-18.5435,-53.133,exact,,bioenergy
Unidade de Bioenergia Costa Rica power station,2,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,Companhia Brasileira de Energia Renovável,Companhia Brasileira de Energia Renovável,Brazil,https://gem.wiki/Unidade_de_Bioenergia_Costa_Rica_power_station,-18.5435,-53.133,exact,,bioenergy
Unidade de Bioenergia Morro Vermelho power station,1,bioenergy_-_agricultural_waste,,,73.0,operating,2013.0,no conversion,Companhia Brasileira de Energia Renovável,Companhia Brasileira de Energia Renovável,Brazil,https://gem.wiki/Unidade_de_Bioenergia_Morro_Vermelho_power_station,-17.7246,-53.0219,exact,,bioenergy
Univalem Bioenergia power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2012.0,no conversion,Bioenergia Univalem Ltda,Bioenergia Univalem Ltda,Brazil,https://gem.wiki/Univalem_Bioenergia_power_station,-21.3245,-50.9494,exact,,bioenergy
URE Lara power station,1,bioenergy_-_refuse,,,80.0,pre-construction,,no conversion,LARA Central de Tratamento de Resíduos Ltda,LARA Central de Tratamento de Resíduos Ltda,Brazil,https://gem.wiki/URE_LARA_power_station,-23.705,-46.4745,exact,,bioenergy
URE Valoriza Santos power station,1,bioenergy_-_refuse,,,50.0,pre-construction,2023.0,no conversion,Valoriza Energia SPE Ltda,Valoriza Energia SPE Ltda,Brazil,https://gem.wiki/URE_Valoriza_Santos_power_station,-23.8831,-46.3308,exact,,bioenergy
Usaciga power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2007.0,no conversion,Usina de Açúcar Santa Terezinha Ltda,Usina de Açúcar Santa Terezinha Ltda,Brazil,https://gem.wiki/Usaciga_power_station,-23.3726,-52.905,exact,,bioenergy
USI BIO power station,1,bioenergy_-_agricultural_waste,,,43.0,operating,2015.0,no conversion,Usina Alto Alegre SA - Açúcar e Álcool,Usina Alto Alegre SA - Açúcar e Álcool,Brazil,https://gem.wiki/USI_BIO_power_station,-22.6524,-51.7977,exact,,bioenergy
USI power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,2007.0,no conversion,Usina Alto Alegre SA - Açúcar e Álcool,Usina Alto Alegre SA - Açúcar e Álcool,Brazil,https://gem.wiki/USI_power_station,-22.7088,-51.7774,exact,,bioenergy
Usina da Pedra power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,2003.0,no conversion,Central Energética Rio Pardo SA,Central Energética Rio Pardo SA,Brazil,https://gem.wiki/Usina_da_Pedra_power_station,-21.172,-47.6189,exact,,bioenergy
Vale do Paraná power station,1,bioenergy_-_agricultural_waste,,,48.0,operating,2020.0,no conversion,UTE Vale do Paraná Albioma SA,UTE Vale do Paraná Albioma SA,Brazil,https://gem.wiki/Vale_do_Paraná_power_station,-20.4061,-51.0292,exact,,bioenergy
Vale do Rosário power station,1,bioenergy_-_agricultural_waste,,,97.0,operating,1994.0,no conversion,Biosev SA,Biosev SA,Brazil,https://gem.wiki/Vale_do_Rosário_power_station,-20.6133,-48.0008,exact,,bioenergy
Vale do São Simão power station,1,bioenergy_-_agricultural_waste,,,55.0,operating,2010.0,no conversion,Companhia Energética Vale do São Simão,Companhia Energética Vale do São Simão,Brazil,https://gem.wiki/Vale_do_São_Simão_power_station,-19.0657,-50.3626,exact,,bioenergy
Vale do Tijuco II power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2012.0,no conversion,Companhia Energética de Açúcar e Álcool Vale do Tijuco Ltda,Companhia Energética de Açúcar e Álcool Vale do Tijuco Ltda,Brazil,https://gem.wiki/Vale_do_Tijuco_II_power_station,-19.3468,-48.2322,exact,,bioenergy
Vale do Tijuco power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2010.0,no conversion,Companhia Energética de Açúcar e Álcool Vale do Tijuco Ltda,Companhia Energética de Açúcar e Álcool Vale do Tijuco Ltda,Brazil,https://gem.wiki/Vale_do_Tijuco_power_station,-19.3468,-48.2325,exact,,bioenergy
Veracel power station,1,bioenergy_-_paper_mill_wastes,,,117.0,operating,2006.0,no conversion,Veracel Celulose SA,Veracel Celulose SA,Brazil,https://gem.wiki/Veracel_power_station,-16.374,-39.5705,exact,,bioenergy
Vertente power station,1,bioenergy_-_agricultural_waste,,,53.0,operating,2005.0,no conversion,Usina Vertente Ltda,Usina Vertente Ltda,Brazil,https://gem.wiki/Vertente_power_station,-20.4015,-48.9911,exact,,bioenergy
Viralcool 2 power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2013.0,no conversion,Viralcool - Açúcar e Álcool Ltda,Viralcool - Açúcar e Álcool Ltda,Brazil,https://gem.wiki/Viralcool_2_power_station,-20.9375,-48.2528,exact,,bioenergy
Viralcool Castilho power station,1,bioenergy_-_agricultural_waste,,,50.0,operating,2006.0,no conversion,Viralcool - Açúcar e Álcool Ltda,Viralcool - Açúcar e Álcool Ltda,Brazil,https://gem.wiki/Viralcool_Castilho_power_station,-20.9102,-51.5441,exact,,bioenergy
Viralcool power station,1,bioenergy_-_agricultural_waste,,,43.0,operating,1983.0,no conversion,Viralcool - Açúcar e Álcool Ltda,Viralcool - Açúcar e Álcool Ltda,Brazil,https://gem.wiki/Viralcool_power_station,-20.9385,-48.2503,exact,,bioenergy
Vista Alegre I power station,1,bioenergy_-_agricultural_waste,,,60.0,operating,2009.0,no conversion,Geração Biomassa Vista Alegre I SA,Geração Biomassa Vista Alegre I SA,Brazil,https://gem.wiki/Vista_Alegre_I_power_station,-21.7802,-55.5766,exact,,bioenergy
Vista Alegre II power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2015.0,no conversion,Geração Bioeletricidade Vista Alegre II SA,Geração Bioeletricidade Vista Alegre II SA,Brazil,https://gem.wiki/Vista_Alegre_II_power_station,-21.7802,-55.5766,exact,,bioenergy
Vista Alegre power station,1,bioenergy_-_agricultural_waste,,,60.0,operating,2010.0,no conversion,Agroindustrial Vista Alegre SA,Agroindustrial Vista Alegre SA,Brazil,https://gem.wiki/Vista_Alegre_power_station,-23.4891,-48.1247,exact,,bioenergy
Volta Grande power station,1,bioenergy_-_agricultural_waste,,,55.0,operating,2000.0,no conversion,Delta Sucroenergia SA,Delta Sucroenergia SA,Brazil,https://gem.wiki/Volta_Grande_power_station,-19.9799,-48.2645,exact,,bioenergy
WD power station,1,bioenergy_-_agricultural_waste,,,46.0,operating,1988.0,no conversion,WD Agroindustrial Ltda,WD Agroindustrial Ltda,Brazil,https://gem.wiki/WD_power_station,-18.2153,-45.9907,exact,,bioenergy
Andina-Hornitos power station,1 (Andina),bioenergy_-_unknown,,,177.0,announced,2025.0,coal to bioenergy conversion,Engie Energía Chile SA,Engie Energía Chile SA,Chile,https://www.gem.wiki/Andina-Hornitos_power_station,-23.0877,-70.4075,exact,2025.0,bioenergy
Andina-Hornitos power station,2 (Hornitos),bioenergy_-_unknown,,,178.0,announced,2025.0,coal to bioenergy conversion,Engie Energía Chile SA,Engie Energía Chile SA,Chile,https://www.gem.wiki/Andina-Hornitos_power_station,-23.0877,-70.4075,exact,2025.0,bioenergy
Arauco power station,1,bioenergy_-_wood_and_other_biomass,,,64.0,operating,1996.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Arauco_power_station,-37.2074,-73.2275,exact,,bioenergy
Arauco power station,2,bioenergy_-_wood_and_other_biomass,,,63.0,operating,2012.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Arauco_power_station,-37.2074,-73.2275,exact,,bioenergy
Celco Constitución power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,operating,1996.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Celco_Constitución_power_station,-35.3253,-72.4183,exact,,bioenergy
Cholguán-Trupán power station,1,bioenergy_-_wood_and_other_biomass,,,30.0,operating,2003.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Cholguán-Trupán_power_station,-37.164,-72.0699,exact,,bioenergy
CMPC Laja power station,3,bioenergy_-_paper_mill_wastes,,,45.0,operating,2013.0,no conversion,CMPC Bioenergía Forestales SA,CMPC Bioenergía Forestales SA,Chile,https://gem.wiki/CMPC_Laja_power_station,-37.2889,-72.7122,exact,,bioenergy
CMPC Laja power station,4,bioenergy_-_wood_and_other_biomass,,,63.0,operating,2013.0,no conversion,CMPC Bioenergía Forestales SA,CMPC Bioenergía Forestales SA,Chile,https://gem.wiki/CMPC_Laja_power_station,-37.2889,-72.7122,exact,,bioenergy
CMPC Santa Fe power station,1,bioenergy_-_paper_mill_wastes,,,92.0,operating,2012.0,no conversion,CMPC Bioenergía Forestales SA,CMPC Bioenergía Forestales SA,Chile,https://gem.wiki/CMPC_Santa_Fe_power_station,-37.513,-72.6544,exact,,bioenergy
MAPA power station,1,bioenergy_-_paper_mill_wastes,,,166.0,construction,2023.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/MAPA_power_station,-37.2117,-73.2264,exact,,bioenergy
Nueva Aldea power station,1,bioenergy_-_wood_and_other_biomass,,,30.0,operating,2005.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Nueva_Aldea_power_station,-36.6604,-72.4702,exact,,bioenergy
Nueva Aldea power station,3,bioenergy_-_paper_mill_wastes,,,136.0,operating,2008.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Nueva_Aldea_III_power_station,-36.6604,-72.4702,exact,,bioenergy
Valdivia power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_paper_mill_wastes,fossil_liquids_-_heavy_fuel_oil,140.0,operating,2004.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Valdivia_power_station,-39.5655,-72.9,exact,,bioenergy
Viñales power station,1,bioenergy_-_wood_and_other_biomass,,,41.0,operating,2013.0,no conversion,Arauco Bioenergía,Arauco Bioenergía,Chile,https://gem.wiki/Viñales_power_station,-35.3738,-72.4148,exact,,bioenergy
El Alcaraván power station,1,bioenergy_-_agricultural_waste,,,35.0,operating,2017.0,no conversion,Bioenergy SA (Colombia),Bioenergy SA (Colombia),Colombia,https://gem.wiki/El_Alcaraván_power_station,4.1772,-72.6057,exact,,bioenergy
Riopaila power station,1,bioenergy_-_agricultural_waste,,,36.0,operating,2015.0,no conversion,Riopaila Energía SAS ESP,Riopaila Energía SAS ESP,Colombia,https://gem.wiki/Riopaila_power_station,4.319,-76.0888,exact,,bioenergy
Ciro Redondo power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_agricultural_waste,,60.0,operating,2021.0,no conversion,Biopower SA,Biopower SA,Cuba,https://gem.wiki/Ciro_Redondo_power_station,22.0091,-78.7052,exact,,bioenergy
Ingenio 30 de Noviembre power station,1,bioenergy_-_agricultural_waste,,,50.0,announced,,no conversion,Ingenio 30 de Noviembre,Ingenio 30 de Noviembre,Cuba,https://gem.wiki/Ingenio_30_de_Noviembre_power_station,22.6449,-83.1294,exact,,bioenergy
Ingenio 5 de Septiembre power station,1,bioenergy_-_agricultural_waste,,,50.0,announced,,no conversion,Ingenio 5 de Septiembre,Ingenio 5 de Septiembre,Cuba,https://gem.wiki/Ingenio_5_de_Septiembre_power_station,22.4363,-80.5318,exact,,bioenergy
Ingenio Antonio Guiteras power station,1,bioenergy_-_agricultural_waste,,,50.0,announced,,no conversion,Ingenio Antonio Guiteras,Ingenio Antonio Guiteras,Cuba,https://gem.wiki/Ingenio_Antonio_Guiteras_power_station,21.1705,-76.5625,exact,,bioenergy
Ingenio Batalla de las Guásimas power station,1,bioenergy_-_agricultural_waste,,,50.0,announced,,no conversion,Ingenio Batalla de las Guásimas,Ingenio Batalla de las Guásimas,Cuba,https://gem.wiki/Ingenio_Batalla_de_las_Guásimas_power_station,21.073,-78.1097,approximate,,bioenergy
Ingenio Héctor Molina power station,1,bioenergy_-_agricultural_waste,,,50.0,announced,,no conversion,Ingenio Héctor Molina,Ingenio Héctor Molina,Cuba,https://gem.wiki/Ingenio_Héctor_Molina_power_station,22.7594,-81.8859,exact,,bioenergy
Ingenio Uruguay power station,1,bioenergy_-_agricultural_waste,,,50.0,announced,,no conversion,Ingenio Uruguay,Ingenio Uruguay,Cuba,https://gem.wiki/Ingenio_Uruguay_power_station,21.9398,-79.1739,exact,,bioenergy
San Pedro power station (Dominican Republic),1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,operating,2017.0,no conversion,San Pedro Bio Energy,San Pedro Bio Energy,Dominican Republic,https://gem.wiki/San_Pedro_power_station_(Dominican_Republic),18.4663,-69.3307,exact,,bioenergy
San Pedro power station (Dominican Republic),2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,35.0,announced,,no conversion,San Pedro Bio Energy,San Pedro Bio Energy,Dominican Republic,https://gem.wiki/San_Pedro_power_station_(Dominican_Republic),18.4663,-69.3307,exact,,bioenergy
Ingenio La Troncal power station,1,bioenergy_-_agricultural_waste,,,30.0,operating,2006.0,no conversion,Ecudos S. A.,Ecudos S. A.,Ecuador,https://gem.wiki/Ingenio_La_Troncal_power_station,-2.4204,-79.3437,exact,,bioenergy
Ingenio San Carlos power station,4,bioenergy_-_agricultural_waste,,,43.0,operating,2014.0,no conversion,Sociedad Agrícola e Industrial San Carlos,Sociedad Agrícola e Industrial San Carlos,Ecuador,https://gem.wiki/Ingenio_San_Carlos_power_station,-2.2085,-79.4359,exact,,bioenergy
Chaparrastique power station,1,bioenergy_-_agricultural_waste,,,62.0,operating,2015.0,no conversion,CASSA (Compañía Azucarera Salvadoreña),CASSA (Compañía Azucarera Salvadoreña),El Salvador,https://gem.wiki/Chaparrastique_power_station,13.4395,-88.1517,exact,,bioenergy
Ingenio El Ángel power station,1,bioenergy_-_agricultural_waste,,,95.0,operating,2016.0,no conversion,Grupo El Ángel,Grupo El Ángel,El Salvador,https://gem.wiki/Ingenio_El_Ángel_power_station,13.8003,-89.1991,exact,,bioenergy
Ingenio Jiboa power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2015.0,no conversion,Ingenio Central Azucarero Jiboa SA de CV,Ingenio Central Azucarero Jiboa SA de CV,El Salvador,https://gem.wiki/Ingenio_Jiboa_power_station,13.584,-88.7822,exact,,bioenergy
Izalco power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2005.0,no conversion,CASSA (Compañía Azucarera Salvadoreña),CASSA (Compañía Azucarera Salvadoreña),El Salvador,https://gem.wiki/Izalco_power_station,13.7276,-89.7055,exact,,bioenergy
Le Moule Power Station,3,bioenergy_-_agricultural_waste,,,38.0,operating,2011.0,coal to bioenergy conversion,Albioma,Albioma,Guadeloupe,https://www.gem.wiki/Le_Moule_Power_Station,16.3049,-61.3262,exact,2020.0,bioenergy
Ingenio La Unión power station,1,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,85.0,operating,1998.0,no conversion,Ingenio La Unión SA,Ingenio La Unión SA,Guatemala,https://www.gem.wiki/Ingenio_La_Uni%C3%B3n_power_station,14.2672,-91.0973,exact,,bioenergy
Madre Tierra power station,1,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,37.0,operating,1997.0,no conversion,Grupo Campollo Codina,Ingenio Madre Tierra,Guatemala,https://www.gem.wiki/Madre_Tierra_power_station,14.346,-91.0646,exact,,bioenergy
Magdalena Sugar Mill power station,4,bioenergy_-_agricultural_waste,,,72.0,operating,2004.0,no conversion,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.',Guatemala,https://www.gem.wiki/Magdalena_Sugar_Mill_plant,14.1216,-90.9272,exact,,bioenergy
Magdalena Sugar Mill power station,5,bioenergy_-_agricultural_waste,fossil_liquids_-_fuel_oil,,45.0,operating,2008.0,no conversion,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.',Guatemala,https://www.gem.wiki/Magdalena_Sugar_Mill_plant,14.1216,-90.9272,exact,,bioenergy
Magdalena Sugar Mill power station,6,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,62.0,operating,2012.0,no conversion,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.',Guatemala,https://www.gem.wiki/Magdalena_Sugar_Mill_plant,14.1216,-90.9272,exact,,bioenergy
Magdalena Sugar Mill power station,7,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,62.0,operating,2014.0,no conversion,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.',Guatemala,https://www.gem.wiki/Magdalena_Sugar_Mill_plant,14.1216,-90.9272,exact,,bioenergy
Palo Gordo power station,1,bioenergy_-_agricultural_waste,coal_-_unknown,,31.0,mothballed,2012.0,no conversion,Ingenio Palo Gordo,Ingenio Palo Gordo,Guatemala,https://www.gem.wiki/Palo_Gordo_power_station,14.488,-91.3986,exact,,bioenergy
Palo Gordo power station,2,bioenergy_-_agricultural_waste,coal_-_unknown,,46.0,operating,2015.0,no conversion,Ingenio Palo Gordo,Ingenio Palo Gordo,Guatemala,https://www.gem.wiki/Palo_Gordo_power_station,14.488,-91.3986,exact,,bioenergy
Pantaleón power station,1,bioenergy_-_agricultural_waste,fossil_liquids_-_fuel_oil,,60.0,operating,1997.0,no conversion,Grupo Pantaleón,Ingenio Pantaleón,Guatemala,https://www.gem.wiki/Pantale%C3%B3n_power_station,14.3328,-90.9943,exact,,bioenergy
Pantaleón power station,2,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,61.0,operating,2015.0,no conversion,Grupo Pantaleón,Ingenio Pantaleón,Guatemala,https://www.gem.wiki/Pantale%C3%B3n_power_station,14.3328,-90.9943,exact,,bioenergy
San Isidro power station,1,bioenergy_-_agricultural_waste,,,62.0,operating,2016.0,no conversion,Ingenio Magdalena S.A.',Ingenio Magdalena S.A.',Guatemala,https://www.gem.wiki/San_Isidro_power_station,14.3796,-91.7727,exact,,bioenergy
Santa Ana power station,1,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,40.0,operating,1984.0,no conversion,Ingenio Santa Ana,Ingenio Santa Ana,Guatemala,https://www.gem.wiki/Santa_Ana_power_station,14.2434,-90.8457,exact,,bioenergy
Santa Ana power station,2,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,64.0,operating,2014.0,no conversion,Ingenio Santa Ana,Ingenio Santa Ana,Guatemala,https://www.gem.wiki/Santa_Ana_power_station,14.2434,-90.8457,exact,,bioenergy
Santa Lucía power station,1,bioenergy_-_agricultural_waste,coal_-_unknown,fossil_liquids_-_fuel_oil,45.0,operating,2015.0,no conversion,Grupo Campollo Codina,Central Generadora Santa Lucía S.A.,Guatemala,https://www.gem.wiki/Santa_Luc%C3%ADa_power_station,14.3458,-91.0647,approximate,,bioenergy
Trinidad power station,4,bioenergy_-_agricultural_waste,coal_-_unknown,,46.0,operating,2005.0,no conversion,Grupo San Diego,Ingenio Trinidad,Guatemala,https://www.gem.wiki/Trinidad_power_station,14.151,-90.841,exact,,bioenergy
Trinidad power station,5,bioenergy_-_agricultural_waste,coal_-_unknown,,46.0,operating,2016.0,no conversion,Grupo San Diego,Ingenio Trinidad,Guatemala,https://www.gem.wiki/Trinidad_power_station,14.151,-90.841,exact,,bioenergy
HGPC power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,43.0,operating,2016.0,no conversion,HGPC (Honduran Green Power Corporation),HGPC (Honduran Green Power Corporation),Honduras,https://gem.wiki/HGPC_power_station,15.6165,-87.9735,exact,,bioenergy
Galion 2 power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,40.0,operating,2018.0,no conversion,Albioma,Albioma,Martinique,https://gem.wiki/Galion_2_power_station,14.7182,-60.9471,approximate,,bioenergy
Ingenio Adolfo López Mateos power station,1,bioenergy_-_agricultural_waste,,,50.0,operating,2018.0,no conversion,Grupo Piasa,Grupo Piasa,Mexico,https://gem.wiki/Ingenio_Adolfo_López_Mateos_power_station,18.0495,-96.1549,exact,,bioenergy
Ingenio La Gloria power station,1,bioenergy_-_agricultural_waste,,,45.0,operating,2015.0,no conversion,GAT (Grupo Azucarero del Trópico),GAT (Grupo Azucarero del Trópico),Mexico,https://gem.wiki/Ingenio_La_Gloria_power_station,19.4283,-96.402,exact,,bioenergy
Ingenio Pánuco power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,Grupo Pantaleón [100.0%],Grupo Pantaleón,Mexico,https://gem.wiki/Ingenio_Pánuco_power_station,22.0188,-98.1806,exact,,bioenergy
Ingenio San Miguel del Naranjo power station,1,bioenergy_-_agricultural_waste,,,49.0,operating,,no conversion,Beta San Miguel,Beta San Miguel,Mexico,https://gem.wiki/Ingenio_San_Miguel_del_Naranjo_power_station,22.5325,-99.3346,exact,,bioenergy
Ingenio San Rafael de Pucté power station,1,bioenergy_-_agricultural_waste,,,49.0,operating,,no conversion,Beta San Miguel,Beta San Miguel,Mexico,https://gem.wiki/Ingenio_San_Rafael_de_Pucté_power_station,18.2763,-88.6841,exact,,bioenergy
Ingenio Tres Valles power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2011.0,no conversion,Grupo Piasa,Grupo Piasa,Mexico,https://gem.wiki/Ingenio_Tres_Valles_power_station,18.2626,-96.1632,exact,,bioenergy
PTAR Atotonilco power station,1,bioenergy_-_wastewater_and_sewage_sludge,,,33.0,operating,2017.0,no conversion,Aguas Tratadas del Valle de México,Aguas Tratadas del Valle de México,Mexico,https://gem.wiki/PTAR_Atotonilco_power_station,19.9582,-99.2946,exact,,bioenergy
Tampico Renewable Energy Tamaulipas power station,1,bioenergy_-_agricultural_waste,,,74.0,announced,,no conversion,Tampico Renewable Energy SAP I DE CV,Tampico Renewable Energy SAP I DE CV,Mexico,https://gem.wiki/Tampico_Renewable_Energy_Tamaulipas_power_station,22.7286,-98.9819,approximate,,bioenergy
Ingenio Benjamín Zeledón power station,1,bioenergy_-_agricultural_waste,,,40.0,operating,2019.0,no conversion,EGERSA (Empresa Generadora De Energía Renovable De Rivas SA),EGERSA (Empresa Generadora De Energía Renovable De Rivas SA),Nicaragua,https://gem.wiki/Ingenio_Benjamín_Zeledón_power_station,11.4866,-85.8375,exact,,bioenergy
Ingenio Monte Rosa power station,4,bioenergy_-_agricultural_waste,,,30.0,construction,2024.0,no conversion,Grupo Pantaleón,Grupo Pantaleón,Nicaragua,https://gem.wiki/Ingenio_Monte_Rosa_power_station,12.7065,-87.2357,exact,,bioenergy
Ingenio Montelimar power station,1,bioenergy_-_agricultural_waste,,,42.0,operating,2016.0,no conversion,Cogeneración Green Power SA,Cogeneración Green Power SA,Nicaragua,https://gem.wiki/Ingenio_Montelimar_power_station,11.8172,-86.5119,exact,,bioenergy
Paracel power station,1,bioenergy_-_paper_mill_wastes,,,220.0,pre-construction,2027.0,no conversion,Paracel SA,Paracel SA,Paraguay,https://gem.wiki/Paracel_power_station,-23.26,-57.4975,approximate,,bioenergy
Agroaurora power station,1,bioenergy_-_agricultural_waste,,,38.0,operating,2012.0,no conversion,Agroaurora SAC,Agroaurora SAC,Peru,https://gem.wiki/Maple_Etanol_power_station,-4.9279,-80.8491,exact,,bioenergy
Arecibo Waste-to-Energy power station,1,bioenergy_-_refuse,,,79.0,shelved,,no conversion,Energy Answers Arecibo LLC,Energy Answers Arecibo LLC,Puerto Rico,https://gem.wiki/Arecibo_Waste-to-Energy_power_station,18.4621,-66.7023,approximate,,bioenergy
Montes del Plata power station,1,bioenergy_-_paper_mill_wastes,,,90.0,operating,2014.0,no conversion,Celulosa y Energía Punta Pereira SA,Celulosa y Energía Punta Pereira SA,Uruguay,https://gem.wiki/Montes_del_Plata_power_station,-34.2248,-58.0497,exact,,bioenergy
Montes del Plata power station,2,bioenergy_-_paper_mill_wastes,,,90.0,operating,2014.0,no conversion,Celulosa y Energía Punta Pereira SA,Celulosa y Energía Punta Pereira SA,Uruguay,https://gem.wiki/Montes_del_Plata_power_station,-34.2248,-58.0497,exact,,bioenergy
UPM Paso de los Toros power station,1,bioenergy_-_paper_mill_wastes,,,155.0,operating,2023.0,no conversion,UPM SA,UPM SA,Uruguay,https://gem.wiki/UPM_Paso_de_los_Toros_power_station,-32.866,-56.5354,exact,,bioenergy
UPM Paso de los Toros power station,2,bioenergy_-_paper_mill_wastes,,,155.0,operating,2023.0,no conversion,UPM SA,UPM SA,Uruguay,https://gem.wiki/UPM_Paso_de_los_Toros_power_station,-32.866,-56.5354,exact,,bioenergy
UPM power station,1,bioenergy_-_paper_mill_wastes,,,80.0,operating,2007.0,no conversion,UPM SA,UPM SA,Uruguay,https://gem.wiki/UPM_power_station,-33.121,-58.2551,exact,,bioenergy
UPM power station,2,bioenergy_-_paper_mill_wastes,,,80.0,operating,2007.0,no conversion,UPM SA,UPM SA,Uruguay,https://gem.wiki/UPM_power_station,-33.121,-58.2551,exact,,bioenergy
AlPac Boyle power station,1,bioenergy_-_paper_mill_wastes,,,41.0,operating,1993.0,no conversion,APF Athabasca,APF Athabasca,Canada,https://gem.wiki/AlPac_Boyle_power_station,54.921,-112.8622,exact,,bioenergy
AlPac Boyle power station,2,bioenergy_-_paper_mill_wastes,,,41.0,operating,1993.0,no conversion,APF Athabasca,APF Athabasca,Canada,https://gem.wiki/AlPac_Boyle_power_station,54.921,-112.8622,exact,,bioenergy
Atikokan power station,1,bioenergy_-_wood_and_other_biomass,,,205.0,operating,1985.0,coal to bioenergy conversion,Ontario Power Generation,Ontario Power Generation,Canada,https://www.gem.wiki/Atikokan_power_station,48.8381,-91.5706,exact,2014.0,bioenergy
Bear Creek cogeneration plant,2,bioenergy_-_wood_and_other_biomass,,,32.0,operating,2003.0,no conversion,TransCanada Energy LTD,TransCanada Energy LTD,Canada,https://www.gem.wiki/Bear_Creek_cogeneration_plant,55.0711,-118.692,exact,,bioenergy
Brooklyn Power power station,1,bioenergy_-_wood_and_other_biomass,,,30.0,operating,1995.0,no conversion,Emera Energy,Emera Energy,Canada,https://gem.wiki/Brooklyn_Power_power_station,44.0582,-64.6927,exact,,bioenergy
Calstock power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_refuse,,35.0,operating,2000.0,no conversion,Atlantic Power,Atlantic Power LP,Canada,https://gem.wiki/Calstock_power_station,49.744,-84.0736,exact,,bioenergy
Cariboo Pulp & Paper power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_paper_mill_wastes,fossil_gas_-_unknown,33.0,operating,1972.0,no conversion,Daishowa-Marubeni International LTD [50%]; West Fraser Mills LTD [50%],Caribou Pulp and Paper CO,Canada,https://gem.wiki/Cariboo_Pulp_&_Paper_power_station,52.997,-122.4853,exact,,bioenergy
Catalyst Crofton power station,1,bioenergy_-_wood_and_other_biomass,bioenergy_-_paper_mill_wastes,fossil_gas_-_natural_gas,38.0,operating,,no conversion,,Catalyst Paper,Canada,https://gem.wiki/Catalyst_Crofton_power_station,48.8757,-123.65,exact,,bioenergy
Edmundston Mill power station,3,bioenergy_-_agricultural_waste,,,39.0,operating,,no conversion,,,Canada,https://gem.wiki/Edmundston_Mill_power_station,47.3702,-68.3318,exact,,bioenergy
Fort St James power station,1,bioenergy_-_wood_and_other_biomass,,,40.0,operating,2017.0,no conversion,BioNorth Energy,,Canada,https://gem.wiki/Fort_St_James_power_station,54.489,-124.215,exact,,bioenergy
