project,unit,fuel1,fuel2,fuel3,capacity,status,start_year,conversion,owner,operator,country,url,lat,lng,accuracy,conversion_year,type
Liaoning Xiuyan power station,1-2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Hydropower Second Bureau CO LTD,Zhongnan Yueshui Investment CO LTD,China,https://gem.wiki/Liaoning_Xiuyan_power_station,40.29162,123.282907,approximate,,bioenergy
Liaoning Tieling power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,cancelled,,no conversion,Guangdong Chant Group INC,Tieling Changqing Environmental Protection Energy CO LTD,China,https://gem.wiki/Liaoning_Tieling_power_station,42.232165,123.751539,approximate,,bioenergy
Henan Pingqiao power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,40.0,cancelled,,no conversion,Guangdong Chant Group INC,Xinyang Changqing Biomass Energy CO LTD,China,https://gem.wiki/Henan_Pingqiao_power_station,32.477297,114.041422,approximate,,bioenergy
Chongqing Zhong County power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,35.0,cancelled,,no conversion,Guangdong Chant Group INC,Zhongxian Changqing Biomass Energy CO LTD,China,https://gem.wiki/Chongqing_Zhong_County_power_station,30.223971,108.041206,approximate,,bioenergy
Liaoning Dengta power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,35.0,cancelled,,no conversion,Guangdong Chant Group INC,Dengta Changqing Biomass Energy CO LTD,China,https://gem.wiki/Liaoning_Dengta_power_station,41.428506,123.342926,approximate,,bioenergy
Shandong Jiaxiang power station,1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Guangdong Chant Group INC,Jiaxiang Changqing Biomass Energy CO LTD,China,https://gem.wiki/Shandong_Jiaxiang_power_station,35.42277,116.366602,approximate,,bioenergy
Henan Xiping power station,1-1,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Henan Ruitong Thermal Power Development CO LTD[65%]; Xinfang Li[35%],Henan Hengyang Thermal Power CO LTD,China,https://gem.wiki/Henan_Xiping_power_station,33.367093,114.031611,approximate,,bioenergy
Henan Xiping power station,1-2,bioenergy_-_agricultural_waste,,,30.0,cancelled,,no conversion,Henan Ruitong Thermal Power Development CO LTD[65%]; Xinfang Li[35%],Henan Hengyang Thermal Power CO LTD,China,https://gem.wiki/Henan_Xiping_power_station,33.367093,114.031611,approximate,,bioenergy
Zhejiang Cixi power station,3,bioenergy_-_refuse,,,40.0,construction,,no conversion,Beijing Zhongke Runyu Environmental Protection Technology CO LTD,Cixi Zhongke Zhongmao Environmental Thermal Power CO LTD,China,https://gem.wiki/Zhejiang_Cixi_power_station,30.15026147,121.5396601,approximate,,bioenergy
Gansu Gulang power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,Beijing Longfu Huayi Trading CO LTD,Shanghai Xiru Industrial Development (Group) CO LTD,China,https://gem.wiki/Gansu_Gulang_power_station,37.570254,102.899074,approximate,,bioenergy
Jilin Changchun Jiutai District power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,Beijing Xuneng Development Technology CO LTD[43%]; China Aviation Planning and Design Institute (Group) CO LTD[32%]; TBEA Technology Investment CO LTD[9%]; Jilin Zhongkai New Energy Development and Utilization CO LTD[7%]; Others[9%],China Aviation Industry New Energy CO LTD,China,https://gem.wiki/Jilin_Changchun_Jiutai_District_power_station,44.375627,126.344832,approximate,,bioenergy
Hunan Guiyang power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Kaidi Ecological and Environmental Technology CO LTD,Guiyang Kaidi Green Energy Development CO LTD,China,https://gem.wiki/Hunan_Guiyang_power_station,25.6927,112.705,approximate,,bioenergy
Heilongjiang Nehe power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,40.0,construction,,no conversion,Harbin Jiuzhou Energy Management Group CO LTD,Nehe Jiuzhou Biomass Thermal Power CO LTD,China,https://gem.wiki/Heilongjiang_Nehe_power_station,48.471704,124.814496,approximate,,bioenergy
Heilongjiang Nehe power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,40.0,construction,,no conversion,Harbin Jiuzhou Energy Management Group CO LTD,Nehe Jiuzhou Biomass Thermal Power CO LTD,China,https://gem.wiki/Heilongjiang_Nehe_power_station,48.471704,124.814496,approximate,,bioenergy
Heilongjiang Hailun (SDIC) power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,SDIC Biotechnology Investment CO LTD[70%]; Central Enterprise Rural Industrial Investment Fund CO LTD[15%]; Underdeveloped Areas Industry Development Fund CO LTD[15%],SDIC Bioenergy (Hailun) CO LTD,China,https://gem.wiki/Heilongjiang_Hailun_(SDIC)_power_station,47.495071,126.942597,approximate,,bioenergy
Shandong Zhangqiu power station,2,bioenergy_-_refuse,,,45.0,operating,,no conversion,Dynagreen Investment Holding CO LTD,Dynagreen Environmental Protection (Jinan) CO LTD,China,https://gem.wiki/Shandong_Zhangqiu_power_station,36.964706,117.301228,approximate,,bioenergy
Hebei Pingquan power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,Zhongbo Guoneng (Beijing) Technology CO LTD,Zhongbo Guoneng Pingquan Biomass Power Generation CO LTD,China,https://gem.wiki/Hebei_Pingquan_power_station,41.017837,118.703023,approximate,,bioenergy
Inner Mongolia Wuyuan power station,1-1,bioenergy_-_agricultural_waste,,,45.0,construction,,no conversion,Tianjin Jusen Technology Partnership,Inner Mongolia Taida New Energy CO LTD,China,https://gem.wiki/Inner_Mongolia_Wuyuan_power_station,41.096867,108.265413,approximate,,bioenergy
Inner Mongolia Wuyuan power station,1-2,bioenergy_-_agricultural_waste,,,45.0,construction,,no conversion,Tianjin Jusen Technology Partnership,Inner Mongolia Taida New Energy CO LTD,China,https://gem.wiki/Inner_Mongolia_Wuyuan_power_station,41.096867,108.265413,approximate,,bioenergy
Hebei Qianxi power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Jianwei Liu[60%]; Zhongyang Liu[40%],Beijing Lvjie Taineng Environmental Protection Technology CO LTD,China,https://gem.wiki/Hebei_Qianxi_power_station,40.10828,118.445484,approximate,,bioenergy
Shandong Heze power station,2,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Shandong Luhua Clean Energy CO LTD[70%]; Shandong Yingde Investment CO LTD[18%]; Others[12%],Heze Huaxing Bio Power CO LTD,China,https://gem.wiki/Shandong_Heze_power_station,35.277122,115.40354,exact,,bioenergy
Henan Xiuwu power station,1,bioenergy_-_refuse,,,50.0,construction,,no conversion,City Development Environment CO LTD[40%]; Jiaozuo Investment Group CO LTD[40%]; Chongqing Sanfeng Environment Group CO LTD[20%],Jiaozuo Lvxin City Development CO LTD,China,https://gem.wiki/Henan_Xiuwu_power_station,35.182864,113.431124,approximate,,bioenergy
Sichuan Chengdu Longquanyi District power station,3-1,bioenergy_-_refuse,,,55.0,construction,,no conversion,Chengdu Xingrong Environment CO LTD,Chengdu Xingrong Renewable Energy CO LTD,China,https://gem.wiki/Sichuan_Chengdu_Longquanyi_District_power_station,30.657047,104.355807,approximate,,bioenergy
Sichuan Chengdu Longquanyi District power station,3-2,bioenergy_-_refuse,,,55.0,construction,,no conversion,Chengdu Xingrong Environment CO LTD,Chengdu Xingrong Renewable Energy CO LTD,China,https://gem.wiki/Sichuan_Chengdu_Longquanyi_District_power_station,30.657047,104.355807,approximate,,bioenergy
Sichuan Chengdu Longquanyi District power station,3-3,bioenergy_-_refuse,,,55.0,construction,,no conversion,Chengdu Xingrong Environment CO LTD,Chengdu Xingrong Renewable Energy CO LTD,China,https://gem.wiki/Sichuan_Chengdu_Longquanyi_District_power_station,30.657047,104.355807,approximate,,bioenergy
Heilongjiang Shangzhi Yabuli power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,40.0,construction,,no conversion,Xaoshu Gao[90%]; Changqing Han[10%],Heilongjiang Yabuli Hongxing Thermal Power CO LTD,China,https://gem.wiki/Heilongjiang_Shangzhi_Yabuli_power_station,44.944918,128.622618,approximate,,bioenergy
Heilongjiang Tonghe power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Xiamen Hanyi Investment CO LTD[90%]; Xiuwen Pan[10%],Harbin Qinghe Hanyi New Energy CO LTD,China,https://gem.wiki/Heilongjiang_Tonghe_power_station,46.166975,129.301726,approximate,,bioenergy
Heilongjiang Yanshou power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,30.0,construction,,no conversion,Hui Wang[52%]; Shuyan Qu[48%],Jieneng Thermal Power Station CO LTD,China,https://gem.wiki/Heilongjiang_Yanshou_power_station,45.44983,128.293845,approximate,,bioenergy
Heilongjiang Bayan Xiji power station,1,bioenergy_-_agricultural_waste,,,30.0,construction,,no conversion,Yubao Sun[67%]; Bayan Yubao Thermal Power CO LTD[33%],Bayan County Xiji Yubao Thermal Power CO LTD,China,https://gem.wiki/Heilongjiang_Bayan_Xiji_power_station,46.149621,127.165721,approximate,,bioenergy
Heilongjiang Wangjiang Town power station,1,bioenergy_-_agricultural_waste,bioenergy_-_wood_and_other_biomass,,40.0,construction,,no conversion,Zhejiang Anfu Electromechanical Technology CO LTD,Jiamusi Anfu New Energy CO LTD,China,https://gem.wiki/Heilongjiang_Wangjiang_Town_power_station,46.852462,130.17677,approximate,,bioenergy
Heilongjiang Boli power station,1,bioenergy_-_agricultural_waste,,,40.0,construction,,no conversion,Shandong Xiangrun New Energy CO LTD,Boli Kairun New Energy Technology CO LTD,China,https://gem.wiki/Heilongjiang_Boli_power_station,45.788577,130.525646,approximate,,bioenergy
Guangdong Shenzhen Guangming District power station,1,bioenergy_-_refuse,,,50.0,construction,,no conversion,Shenzhen Energy Environmental Protection CO LTD,Shenzhen Guangming Shenneng Environmental Protection CO LTD,China,https://gem.wiki/Guangdong_Shenzhen_Guangming_District_power_station,22.815631,113.913681,approximate,,bioenergy
Hubei Wuhan Xingou power station,2,bioenergy_-_refuse,,,40.0,construction,,no conversion,Shenzhen Energy Environmental Protection CO LTD,Wuhan Shenneng Environmental Protection Xingou Garbage Power Generation CO LTD,China,https://gem.wiki/Hubei_Wuhan_Xingou_power_station,30.679562,113.979564,approximate,,bioenergy
Guangdong Jiangmen Pengjiang District power station,1,bioenergy_-_refuse,,,45.0,construction,,no conversion,Jiangmen Binjiang Industrial Development Investment CO LTD[40%]; Jiangmen Public Energy Environmental Protection CO LTD[35%]; Guangdong Guangye Investment Group CO LTD[25%],Public Energy (Jiangmen) CO LTD,China,https://gem.wiki/Guangdong_Jiangmen_Pengjiang_District_power_station,22.657779,113.007644,approximate,,bioenergy
Guangdong Shenzhen Pinghu power station,1,bioenergy_-_refuse,,,50.0,construction,,no conversion,Guangdong Guangye Investment Group CO LTD,Shenzhen Guangye Environmental Renewable Energy CO LTD,China,https://gem.wiki/Guangdong_Shenzhen_Pinghu_power_station,22.683202,114.097486,approximate,,bioenergy
Sichuan Zigong power station,2,bioenergy_-_refuse,,,35.0,construction,,no conversion,Sichuan Energy Investment Energy Conservation and Environmental Protection Investment CO LTD,Zigong Chuanneng Environmental Protection Power Generation CO LTD,China,https://gem.wiki/Sichuan_Zigong_power_station,29.189741,104.882679,approximate,,bioenergy
